"Gene","Count","Phenotypes"
"Zm00001eb189290",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb191170",5,"FarmCPU_envGWAS_N;Fst_N_maize;Fst_NHx_maize;MLM_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb191180",5,"FarmCPU_envGWAS_N;Fst_N_maize;Fst_NHx_maize;MLM_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb191190",5,"FarmCPU_envGWAS_N;Fst_N_maize;Fst_NHx_maize;MLM_envGWAS_N;FarmCPU_envGWAS_NHx_sorghum"
"Zm00001eb191210",5,"FarmCPU_envGWAS_N;Fst_N_maize;Fst_NHx_maize;MLM_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb191220",5,"FarmCPU_envGWAS_N;Fst_N_maize;Fst_NHx_maize;MLM_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb191680",5,"Fst_N_maize;Fst_NHx_maize;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb191710",5,"Fst_N_maize;Fst_NHx_maize;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb191720",5,"Fst_N_maize;Fst_NHx_maize;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb192720",5,"Fst_N_maize;MLM_envGWAS_N;Fst_NHx_maize;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb192730",5,"Fst_N_maize;MLM_envGWAS_N;Fst_NHx_maize;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb192750",5,"Fst_N_maize;MLM_envGWAS_N;Fst_NHx_maize;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb193030",5,"Fst_N_maize;MLM_envGWAS_NHx;FarmCPU_envGWAS_N_sorghum;Fst_NHx_maize;FarmCPU_envGWAS_NHx"
"Zm00001eb193100",5,"Fst_N_maize;MLM_envGWAS_N;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb193260",5,"Fst_N_maize;MLM_envGWAS_N;Fst_NHx_maize;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb193270",5,"Fst_N_maize;MLM_envGWAS_N;Fst_NHx_maize;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb195120",5,"MLM_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb207780",5,"Fst_Jarvis;FarmCPU_envGWAS_NHx;MLM_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
